Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Transition systems with algebraic structure as models of computations","Semantics of Systems of Concurrent Processes","","","","10.1007/3-540-53479-2_8","Andrea CorradiniGian Luigi FerrariUgo Montanari","1990","http://link.springer.com/chapter/10.1007/3-540-53479-2_8","Chapter"
"On procedures as open subroutines. II","Acta Informatica","","3","3","10.1007/BF00288636","Prof. Dr. Hans Langmaack","1974","http://link.springer.com/article/10.1007/BF00288636","Article"
"On the max-entropy rule for a binary search tree","Acta Informatica","","12","1","10.1007/BF00264017","Yasuichi HoribeTibor O. H. Nemetz","1979","http://link.springer.com/article/10.1007/BF00264017","Article"
"The size of random bucket trees via urn models","Acta Informatica","","41","1","10.1007/s00236-004-0148-9","Hosam M. Mahmoud","2004","http://link.springer.com/article/10.1007/s00236-004-0148-9","Article"
"Comments on “A comparison of two synchronizing concepts by P.B. Hansen”","Acta Informatica","","1","4","10.1007/BF00289516","P. J. CourtoisF. HeymansProf. D. L. Parnas","1972","http://link.springer.com/article/10.1007/BF00289516","Article"
"A formal analysis of database replication protocols with SI replicas and crash failures","The Journal of Supercomputing","","50","2","10.1007/s11227-008-0255-4","José Ramón González de MendívilJosé Enrique Armendáriz-IñigoJosé Ramón GaritagoitiaFrancesc D. Muñoz-Escoí","2009","http://link.springer.com/article/10.1007/s11227-008-0255-4","Article"
"Load sharing in distributed systems with failures","Acta Informatica","","25","6","10.1007/BF00291054","Satish K. TripathiDavid FinkelErol Gelenbe","1988","http://link.springer.com/article/10.1007/BF00291054","Article"
"Nearly optimal binary search trees","Acta Informatica","","5","4","10.1007/BF00264563","Kurt Mehlhorn","1975","http://link.springer.com/article/10.1007/BF00264563","Article"
"Integrating Physics and Computer Education in a Single Process","Designing Computer-Based Learning Materials","","","","10.1007/978-3-642-82654-2_7","Elena Sassi","1986","http://link.springer.com/chapter/10.1007/978-3-642-82654-2_7","Chapter"
"A closer look at termination","Acta Informatica","","5","4","10.1007/BF00264565","Shmuel KatzZohar Manna","1975","http://link.springer.com/article/10.1007/BF00264565","Article"
"Theoretical Issues of Logic Programming","Logic Programming","","","","10.1007/978-94-009-5044-3_2","Isaac BalbinKoenraad Lecot","1985","http://link.springer.com/chapter/10.1007/978-94-009-5044-3_2","Chapter"
"Substitution of grammar forms","Acta Informatica","","5","4","10.1007/BF00264567","Seymour GinsburgEdwin H. Spanier","1975","http://link.springer.com/article/10.1007/BF00264567","Article"
"Acknowledgement to referees","Acta Informatica","","23","6","10.1007/BF00264316","","1986","http://link.springer.com/article/10.1007/BF00264316","Article"
"Extended directed graphs, a formalism for structured data and data structures","Acta Informatica","","8","1","10.1007/BF00276183","M. E. Majster","1977","http://link.springer.com/article/10.1007/BF00276183","Article"
"Language design methods based on semantic principles","Acta Informatica","","8","2","10.1007/BF00289243","R. D. Tennent","1977","http://link.springer.com/article/10.1007/BF00289243","Article"
"Total lineare Realisierbarkeit endlicher Automaten","Acta Informatica","","3","4","10.1007/BF00263591","Dr. Lutz Eichner","1974","http://link.springer.com/article/10.1007/BF00263591","Article"
"The publisher's announcement","Acta Informatica","","18","1","10.1007/BF00625284","","1982","http://link.springer.com/article/10.1007/BF00625284","Article"
"Nonterminals, homomorphisms and codings in different variations of OL-systems","Acta Informatica","","3","4","10.1007/BF00263589","M. NielsenG. RozenbergA. SalomaaS. Skyum","1974","http://link.springer.com/article/10.1007/BF00263589","Article"
"Some extended semaphore primitives","Acta Informatica","","8","3","10.1007/BF00264467","Tilak Agerwala","1977","http://link.springer.com/article/10.1007/BF00264467","Article"
"Could the Robotics/Control Technology Be an Interdisciplinary Tool in School?","Control Technology in Elementary Education","","","","10.1007/978-3-642-58026-0_7","Montse Guitert","1993","http://link.springer.com/chapter/10.1007/978-3-642-58026-0_7","Chapter"
"Correctness proof of a database replication protocol under the perspective of the I/O automaton model","Acta Informatica","","46","4","10.1007/s00236-009-0097-4","José Enrique Armendáriz-IñigoJosé Ramón González de MendívilJosé Ramón GaritagoitiaFrancesc D. Muñoz-Escoí","2009","http://link.springer.com/article/10.1007/s00236-009-0097-4","Article"
"The analysis of search trees: A survey","Graphtheoretic Concepts in Computer Science","","","","10.1007/3-540-10291-4_16","Th. OttmannH. -W. SixD. Wood","1981","http://link.springer.com/chapter/10.1007/3-540-10291-4_16","Chapter"
"Acknowledgement to referees","Acta Informatica","","30","8","10.1007/BF01191812","","1993","http://link.springer.com/article/10.1007/BF01191812","Article"
"Preannouncement","Acta Informatica","","21","4","10.1007/BF00264619","","1984","http://link.springer.com/article/10.1007/BF00264619","Article"
"Multiple-Microarray Analysis and Internet Gathering Information with Application for Aiding Medical Diagnosis in Cancer Research","2nd International Workshop on Practical Applications of Computational Biology and Bioinformatics (IWPACBB 2008)","","","","10.1007/978-3-540-85861-4_14","Daniel Glez-PeñaManuel Glez-BediaFernando DíazFlorentino Fdez-Riverola","2009","http://link.springer.com/chapter/10.1007/978-3-540-85861-4_14","Chapter"
"The verification and synthesis of data structures","Acta Informatica","","4","2","10.1007/BF00288745","Jay SpitzenBen Wegbreit","1975","http://link.springer.com/article/10.1007/BF00288745","Article"
"Addenda and corrigenda","Acta Informatica","","3","3","10.1007/BF00288641","C. A. R. HoareN. Wirth","1974","http://link.springer.com/article/10.1007/BF00288641","Article"
"A New Approach in Building a Corpus for Natural Language Generation Systems","Computational Linguistics and Intelligent Text Processing","","","","10.1007/3-540-44686-9_24","M del Socorro Bernardos GalindoGuadalupe Aguado de Cea","2001","http://link.springer.com/chapter/10.1007/3-540-44686-9_24","Chapter"
"Le parti che costituiscono un computer","Elementi di informatica in diagnostica per immagini","","","","10.1007/978-88-470-1667-5_2","Fabrizio CalliadaFranco FarfariniAlessandro VercelliDaniele Travaini","2010","http://link.springer.com/chapter/10.1007/978-88-470-1667-5_2","Chapter"
"Adaptive sorting: an information theoretic perspective","Acta Informatica","","45","1","10.1007/s00236-007-0061-0","Amr ElmasryMichael L. Fredman","2008","http://link.springer.com/article/10.1007/s00236-007-0061-0","Article"
"Least common container of tree pattern queries and its applications","Acta Informatica","","49","3","10.1007/s00236-012-0155-1","Junhu WangJeffrey Xu YuChaoyi PangChengfei Liu","2012","http://link.springer.com/article/10.1007/s00236-012-0155-1","Article"
"Automatic analysis of inflectional morphems in German nouns","Acta Informatica","","1","4","10.1007/BF00289515","Dr. Gerda Schott","1972","http://link.springer.com/article/10.1007/BF00289515","Article"
"A Comparative Performance Study of Feature Selection Methods for the Anti-spam Filtering Domain","Advances in Data Mining. Applications in Medicine, Web Mining, Marketing, Image and Signal Mining","","","","10.1007/11790853_9","J. R. MéndezF. Fdez-RiverolaF. DíazE. L. IglesiasJ. M. Corchado","2006","http://link.springer.com/chapter/10.1007/11790853_9","Chapter"
"Remarks on “A Synthesis of Several Sorting Algorithms” by John Darlington","Acta Informatica","","13","3","10.1007/BF00288643","David R. Barstow","1980","http://link.springer.com/article/10.1007/BF00288643","Article"
"The equivalence of Horn and network complexity for Boolean functions","Acta Informatica","","15","3","10.1007/BF00289267","Stal O. AnderaaEgon Börger","1981","http://link.springer.com/article/10.1007/BF00289267","Article"
"Applications of efficient mergeable heaps for optimization problems on trees","Acta Informatica","","13","1","10.1007/BF00288535","Zvi Galil","1980","http://link.springer.com/article/10.1007/BF00288535","Article"
"Parallel algorithms for adaptive quadrature II metalgorithm correctness","Acta Informatica","","5","4","10.1007/BF00264562","John R. Rice","1975","http://link.springer.com/article/10.1007/BF00264562","Article"
"A new approach to parallel computing","Acta Informatica","","7","1","10.1007/BF00265218","R. Zuczek","1976","http://link.springer.com/article/10.1007/BF00265218","Article"
"Grammarforms and grammarhomomorphisms","Acta Informatica","","7","1","10.1007/BF00265222","Prof. Dr. H. K. -G. Walter","1976","http://link.springer.com/article/10.1007/BF00265222","Article"
